date,hmm_state,hmm_p_crisis,bocpd_p_change,bocpd_break_freq_30d,risk_score_raw,risk_score_calibrated,alert_p90,alert_p95
2008-09-10,0,1.0,0.28626911500241775,5.0,0.8621009,0.48550179600715637,1,1
2008-09-11,0,1.0,0.6148145214608872,6.0,0.85269016,0.48550179600715637,1,1
2008-09-12,0,1.0,0.6629190020256375,7.0,0.89345795,0.48550179600715637,1,1
2008-09-15,0,1.0,0.07800103447105944,7.0,0.825555,0.45055555800596875,1,1
2008-09-16,0,1.0,0.6275864680202026,8.0,0.86603737,0.48550179600715637,1,1
2008-09-17,0,1.0,0.997845963943223,9.0,0.96655613,0.48550179600715637,1,1
2008-09-18,0,1.0,0.9977358391708873,10.0,0.94940823,0.48550179600715637,1,1
2008-09-19,0,1.0,0.9931847615560813,10.0,0.97178155,0.48550179600715637,1,1
2008-09-22,0,1.0,0.9458364628540531,10.0,0.96312493,0.48550179600715637,1,1
2008-09-23,0,1.0,0.962080484144443,10.0,0.94571733,0.48550179600715637,1,1
2008-09-24,0,1.0,0.9646832922784618,10.0,0.93866783,0.48550179600715637,1,1
2008-09-25,0,1.0,0.8805545158525924,10.0,0.9515074,0.48550179600715637,1,1
2008-09-26,0,1.0,0.03839666329897746,10.0,0.951238,0.48550179600715637,1,1
2008-09-29,0,1.0,0.032809114371320156,10.0,0.9570735,0.48550179600715637,1,1
2008-09-30,0,1.0,0.03298101905813443,10.0,0.9441653,0.48550179600715637,1,1
2008-10-01,0,1.0,0.029718774708472173,10.0,0.9675789,0.48550179600715637,1,1
2008-10-02,0,1.0,0.031498708525906,10.0,0.9643724,0.48550179600715637,1,1
2008-10-03,0,1.0,0.03203654292456637,10.0,0.9744549,0.48550179600715637,1,1
2008-10-06,0,1.0,0.026962324252590694,10.0,0.9716644,0.48550179600715637,1,1
2008-10-07,0,1.0,0.02161678824782605,10.0,0.97545975,0.48550179600715637,1,1
2008-10-08,0,1.0,0.09535710771547305,10.0,0.9911208,0.48550179600715637,1,1
2008-10-09,0,1.0,0.33799262622232384,10.0,0.98734885,0.48550179600715637,1,1
2008-10-10,0,1.0,0.8740681991938948,11.0,0.98109645,0.48550179600715637,1,1
2008-10-13,0,1.0,0.8549837568557968,12.0,0.97655886,0.48550179600715637,1,1
2008-10-14,0,1.0,0.7893401296413378,13.0,0.97498244,0.48550179600715637,1,1
2008-10-15,0,1.0,0.21860271188912048,13.0,0.98396415,0.48550179600715637,1,1
2008-10-16,0,1.0,0.3325799042454282,13.0,0.9777656,0.48550179600715637,1,1
2008-10-17,0,1.0,0.19469512331088196,13.0,0.9407708,0.48550179600715637,1,1
2008-10-20,0,1.0,0.12780308807858137,13.0,0.94481546,0.48550179600715637,1,1
2008-10-21,0,1.0,0.2717219516683429,13.0,0.9341181,0.48550179600715637,1,1
2008-10-22,0,1.0,0.18622112625213752,13.0,0.7059274,0.273380587498347,1,1
2008-10-23,0,1.0,0.41485860935558905,12.0,0.7034762,0.273380587498347,1,1
2008-10-24,0,1.0,0.5795497066949062,12.0,0.65851176,0.23628656814495722,1,1
2008-10-27,0,1.0,0.10965597411131763,12.0,0.6402359,0.22858229776223501,1,0
2008-10-28,0,1.0,0.05160699840074797,11.0,0.67805403,0.21417644123236337,1,1
2008-10-29,0,1.0,0.19725720431103125,10.0,0.6922733,0.273380587498347,1,1
2008-10-30,0,1.0,0.6679384144210307,10.0,0.67714953,0.23988776405652365,1,1
2008-10-31,0,1.0,0.7462304986274338,10.0,0.6867697,0.23988776405652365,1,1
2008-11-03,0,1.0,0.5514370344582858,10.0,0.69629335,0.273380587498347,1,1
2008-11-04,0,1.0,0.08941287120604818,9.0,0.688389,0.23988776405652365,1,1
2008-11-05,0,1.0,0.10438989098193258,8.0,0.67547417,0.23988776405652365,1,1
2008-11-06,0,1.0,0.22251793189012362,7.0,0.46082547,0.19043023884296417,1,0
2008-11-07,0,1.0,0.2350530401344208,7.0,0.39711323,0.18192500869433084,1,0
2008-11-10,0,1.0,0.17770932163465697,7.0,0.41153944,0.18192500869433084,1,0
2008-11-11,0,1.0,0.3825023383533088,7.0,0.39069843,0.18192500869433084,0,0
2008-11-12,0,1.0,0.1837607837728599,7.0,0.38832256,0.18192500869433084,0,0
2008-11-13,0,1.0,0.091462886554316,7.0,0.36494195,0.17356419811646143,0,0
2008-11-14,0,1.0,0.12144787354260031,7.0,0.4390335,0.18192500869433084,1,0
2008-11-17,0,1.0,0.3908201116836205,7.0,0.37423715,0.18192500869433084,0,0
2008-11-18,0,1.0,0.7572554921048806,8.0,0.35047102,0.17059376339117685,0,0
2008-11-19,0,1.0,0.34540937439170394,8.0,0.38258982,0.18192500869433084,0,0
